Temperature,Humidity
25.90,38.30
25.90,38.30
25.90,38.30
25.90,38.20
25.90,38.20
25.90,38.20
25.90,38.20
25.90,38.20
25.90,38.30
25.90,38.30
25.90,38.30
25.90,38.30
25.90,38.30
25.90,38.30
25.90,38.30
25.90,38.30
25.90,38.30
25.90,38.30
25.90,38.30
25.90,38.30
25.90,38.30
25.90,38.50
25.90,38.80
25.90,39.40
25.90,39.90
25.90,39.80
25.90,39.60
25.90,39.40
25.90,39.20
25.90,39.00
25.90,38.80
25.90,38.80
25.90,39.00
25.90,39.20
25.90,39.50
25.90,39.70
25.90,39.80
25.90,39.70
25.90,39.60
25.90,39.40
25.90,39.30
25.90,39.10
25.90,38.90
25.90,38.80
25.90,38.80
25.90,38.70
25.90,38.70
25.90,38.80
25.90,38.90
25.90,38.90
25.90,38.80
25.90,38.90
25.90,39.00
25.90,39.00
25.90,38.80
25.90,38.70
25.90,38.60
25.90,38.60
25.90,38.50
25.90,38.40
25.90,39.60
25.90,39.90
25.90,39.60
25.90,39.30
25.90,41.00
25.90,41.00
25.90,40.70
25.90,40.30
25.90,39.90
25.90,38.70
25.90,38.40
25.90,38.20
25.90,38.10
25.90,38.00
25.90,38.00
25.90,38.00
25.90,38.10
25.90,38.10
25.90,38.10
25.90,38.10
25.90,38.60
25.90,39.60
25.90,40.30
25.90,40.10
25.90,39.90
25.90,38.80
25.90,38.10
25.90,38.10
25.90,38.10
25.90,38.10
25.90,38.10
25.90,38.10
25.90,38.10
25.90,38.00
25.90,38.00
25.90,38.10
25.90,38.00
25.90,38.00
25.90,38.20
25.90,38.20
25.90,38.30
25.90,38.30
25.90,38.30
25.90,38.20
25.90,38.20
25.90,38.20
25.90,38.20
25.90,38.20
25.90,38.20
25.90,38.20
25.90,38.20
25.90,38.20
25.90,38.20
25.90,38.20
25.90,38.30
25.90,38.30
25.90,38.30
25.90,38.30
25.90,38.30
25.90,38.30
25.90,38.30
25.90,38.30
25.90,38.30
25.90,38.80
25.90,38.80
25.90,38.70
25.90,38.60
25.90,38.50
25.90,38.40
25.90,38.40
25.90,38.40
25.90,38.30
25.90,38.30
25.90,38.30
25.90,38.30
25.90,38.30
25.90,38.30
25.90,38.30
25.90,38.30
25.90,38.40
25.90,39.30
